Quantity,Value,Footprint,Reference
2,YTS-A016-X,YTS-A016-X,"BOOT1, RST1"
4,22pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C1, C2, C43, C44"
9,10uF/6.3V/20%/X5R/C0402,C_0402_5MIL_DWS,"C3, C6, C18, C20, C22, C27, C37, C40, C49"
23,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C4, C5, C7, C9, C11, C12, C19, C21, C23, C28, C29, C35, C38, C39, C41, C42, C45, C46, C48, C50, C51, C52, C53"
8,1uF/6.3V/10%/X5R/C0402,C_0402_5MIL_DWS,"C8, C10, C33, C36, C47, C54, C55, C58"
1,4.7uF/X5R/20%/10V/C0402,C_0402_5MIL_DWS,C13
2,100nF/50V/20%/Y5V/C0603,C_0603_5MIL_DWS,"C14, C15"
1,1nF/2000V/10%/X7R/C1206,C_1206_5MIL_DWS_ISO,C16
2,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,"C17, C62"
2,33pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C24, C25"
3,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C32, C34, C60"
1,1N5822/SS34/SMA,SMA-KA,D1
2,WPM2015-3/TR,SOT23,"FET1, FET2"
2,600OHM/2A/UPZ2012E-601-2R0TF/0805,L_0805_5MIL_DWS,"L1, L2"
2,1.0uH/2.5A/DCR=30mR/20%/3.00x3.00x1.50mm/CD32(SWPA3015S1R0MT),CD32,"L3, L4"
1,RJP-003TC1(LPJ4112CNL),RJP-003TC1(LPJ4112CNL),LAN_CON1
1,LED/Yellow/0603,LED_0603_KA,LED_ACT1
2,LED/Green/0603,LED_0603_KA,"LED_LINK1, USER_LED1"
1,TFC-9P-1.7H(ATFFS150A01BR016),uSD(TFC-9P-1.xH(ATFFS150A01BR016)),MICRO_SD1
2,FPA-VZA2-15-LF,TE_1-1734248-5,"MIPI-CSI1, MIPI-DSI1"
1,PH2.0-4AT,PH2.0-4PLB,POE_PWR1
1,LED/RED/0603,LED_0603_KA,PWR_LED1
1,Q32.768kHz/12.5pF/2P/SMD1206,CM7V-T1A(Crystal_Package-1206_3.20x1.50x0.65mm),Q1
1,Q25MHz/20pF/20ppm/4P/3.2x2.5mm,TSX-3.2x2.5mm_GND(3),Q2
1,Q40.000MHz/12pF/10ppm/4P/3.2x2.5x0.70mm(Harmony_Electronics_CORP./HSX321S),TSX-3.2x2.5mm_GND(3),Q3
2,4.02k/1%/R0402,R_0402_5MIL_DWS,"R1, R2"
8,4.7k/R0402,R_0402_5MIL_DWS,"R3, R7, R10, R13, R14, R24, R25, R32"
6,2.2k/R0402,R_0402_5MIL_DWS,"R4, R8, R9, R22, R23, R34"
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R5, R6"
7,10k/R0402,R_0402_5MIL_DWS,"R11, R20, R27, R36, R37, R38, R43"
1,10M/R0402,R_0402_5MIL_DWS,R12
1,6.19k/1%/R0402,R_0402_5MIL_DWS,R15
2,22R/R0402,R_0402_5MIL_DWS,"R16, R33"
2,1.5k/R0402,R_0402_5MIL_DWS,"R29, R30"
1,30.1k/1%/R0402,R_0402_5MIL_DWS,R39
1,6.49k/1%/R0402,R_0402_5MIL_DWS,R40
2,10.5k/1%/R0402,R_0402_5MIL_DWS,"R41, R42"
1,RMAT_(4x0402)_4.7k,RA0805_(4X0402)_xx_BIGGEROUTPADS,RM1
1,ESDS314DBVR(SOT-23-5),SOT-23-5,TVS1
1,ESP32-P4NRWxx(QFN104),QFN104_10mm×10mm_Pitch_0.35mm,U1
1,IP101GRR(32-PIN_QFN),QFN32_EP(33)_4.00x4.00x0.80mm_Pitch_0.40mm,U2
1,W25Q128JVSIQ(16MB),SO-8_208mil,U3
2,TPS62A02ADRLR(SOT-563-6),SOT-563-6,"U4, U5"
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-Serial/JTAG1
1,SH1.0-10P-180D,BM10B-SRSS-TB,pUEXT1
