Altium Designer Pick and Place Locations
B:\Applications\hardware\pca20072\trunk\production_files\400921_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       01.12.25
Time:       19:57
Revision:   40463
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LOGO3","CE Logo","TopLayer","CE_logo","-154.9823","-140.1176","0","CE (Conformité_Européenne) logo"
"R6","4R7","BottomLayer","RESC0603X03L_C","9.5750","2.5000","90","Resistor, ±1%, 0.05W"
"FB2","120R/0.2A","BottomLayer","INDC0603X03L_C","8.9751","2.5001","90","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"P2","Pin List 1x3","TopLayer","LIST_1x3-NC","-7.0500","-12.3000","180","Pin List 1x3, 2.54mm (100mil)"
"U6","SKY13348-374LF","TopLayer","SON50P150X50_HS-7N","13.7250","0.0000","0","50 MHz-6.0 GHz GaAs SPDT Switch"
"TP7","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.5000","9.5000","180","1.5mm circular SMD testpad"
"C42","1.5pF","TopLayer","CAPC1005X04L_C2","3.1491","15.6032","343","Capacitor, NP0, ±0.1pF"
"C41","2.0pF","TopLayer","CAPC1005X04L_C2","3.1490","-15.6030","17","Capacitor, NP0, 50V, ±0.1pF"
"LOGO2","Nordic Logo","BottomLayer","NORDIC_LOGO_LYING","-154.9823","-140.1176","270","Nordic logo lying"
"C39","47µF","TopLayer","CAPC1608X06L","-2.5000","-11.8000","270","Capacitor, X5R, ±20%, 6.3V"
"LOGO1","WEE Symbol","BottomLayer","WEEE_3x4.5mm","-154.9823","-140.1176","241","WEEE Directive symbol"
"GND","TP","TopLayer","TESTPAD-TH","-11.2500","-7.0000","270","Testpoint, through hole"
"2.07","TP","TopLayer","TESTPAD-TH","-9.2500","-10.0000","270","Testpoint, through hole"
"VDD","TP","TopLayer","TESTPAD-TH","-11.2500","7.0000","270","Testpoint, through hole"
"1.11","TP","TopLayer","TESTPAD-TH","-9.2500","2.0000","270","Testpoint, through hole"
"1.12","TP","TopLayer","TESTPAD-TH","-9.2500","4.0000","270","Testpoint, through hole"
"TP6","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","-5.0000","-14.0000","180","1.5mm circular SMD testpad"
"SW3","PB SW","TopLayer","SW_TACTILE_2.6x3.0MM_4-LEAD","9.2000","-5.4000","270","Nano-Miniature Top Actuated Tact Switch with extended life 3.0x2.6mm"
"R4","2k7","TopLayer","RESC0603X03L_C","8.9250","1.5750","0","Resistor, ±1%, 0.05W"
"Q2","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","8.3125","-2.5750","270","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"0.04","TP","TopLayer","TESTPAD-TH","-9.2500","12.0000","270","Testpoint, through hole"
"TP13","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","9.0500","-8.2000","0","1.0mm circular SMD testpad"
"TP12","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","7.1000","-3.6500","0","1.0mm circular SMD testpad"
"L6","1.0mH","TopLayer","INDC2520X10N","5.5750","8.0000","90","Inductor, 15mA, ±10%, 24O"
"D1","BZB984-C12,115","TopLayer","SOTFL50P160X60-3L","3.3000","7.6250","90","Zener Diode Array, 1 Pair, Common Anode, 12V, 265mW, ±5%"
"Q3","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","4.4250","5.5750","180","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"R19","0R","TopLayer","RESC0603X03L_C","0.6250","-7.1000","270","Resistor, ±5%, 0.05W"
"Bz1","Piezo_4kHz","TopLayer","Buzzer_PKMCS0909","-2.3000","10.4000","90","Piezo Buzzer, SMD, 9.0mm x 9.0mm x 1.9mm, 4kHz, 65dB @ 1.5V, <12.5Vp-p"
"TP5","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","-11.0000","5.0000","180","1.5mm circular SMD testpad"
"TP4","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","-11.0000","-5.0000","180","1.5mm circular SMD testpad"
"TP3","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","-14.0000","-5.0000","180","1.5mm circular SMD testpad"
"TP2","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","-14.0000","5.0000","180","1.5mm circular SMD testpad"
"TP1","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","-13.0000","8.0000","270","1.5mm circular SMD testpad"
"2.06","TP","TopLayer","TESTPAD-TH","-9.2500","0.0000","270","Testpoint, through hole"
"1.03","TP","TopLayer","TESTPAD-TH","-9.2500","-6.0000","270","Testpoint, through hole"
"1.02","TP","TopLayer","TESTPAD-TH","-9.2500","-8.0000","270","Testpoint, through hole"
"2.05","TP","TopLayer","TESTPAD-TH","-9.2500","-2.0000","270","Testpoint, through hole"
"1.13","TP","TopLayer","TESTPAD-TH","-9.2500","6.0000","270","Testpoint, through hole"
"1.14","TP","TopLayer","TESTPAD-TH","-9.2500","8.0000","270","Testpoint, through hole"
"0.02","TP","TopLayer","TESTPAD-TH","-9.2500","10.0000","270","Testpoint, through hole"
"0.01","TP","TopLayer","TESTPAD-TH","-9.2500","-4.0000","270","Testpoint, through hole"
"C19","TBD","TopLayer","CAPC1005X04L","-7.5000","-5.0000","0","Chip Cap 0402"
"C17","TBD","TopLayer","CAPC1005X04L","-7.5000","-7.0000","0","Chip Cap 0402"
"R16","1k2","TopLayer","RESC0603X03L_C","2.6750","10.8750","90","Resistor, ±1%, 0.05W"
"R15","2k2","TopLayer","RESC0603X03L_C","4.8500","10.2750","0","Resistor, ±1%, 0.05W"
"R14","390R","TopLayer","RESC0603X03L_C","2.6750","9.3250","90","Resistor, ±1%, 0.05W"
"LED2","LED RGB","TopLayer","LED_RGB_0603","3.6000","10.1000","180","RGB LED 1.60 mm x 0.80 mm SMD"
"Q1","TEMT6200FX01","TopLayer","TEMT6200FX01","10.6250","2.7250","90","Phototransistors 550nm Top View 0805 (2012 Metric)"
"U8","MX25R6435F","TopLayer","SON80P300X60_HS-9N","-2.8250","-5.1500","90","Ultra low power, 64M-bit, serial multi I/O flash memory"
"A2","2450AT18D0100","TopLayer","2450AT18D0100_TE-L","8.6951","-12.3000","207","2.45 GHz chip antenna"
"A1","2450AT18D0100","TopLayer","2450AT18D0100_TE-R","8.6951","12.3000","333","2.45 GHz chip antenna"
"SW1","PB SW","TopLayer","KLS-TS3402","-4.5000","-0.5500","270","Tactile Switch, SPNO, SMD, 260gf, 4.2x3.3x2.5mm"
"SW2","PB SW","TopLayer","SW_TACTILE_2.6x3.0MM_4-LEAD","0.0000","-10.2000","0","Nano-Miniature Top Actuated Tact Switch with extended life 3.0x2.6mm"
"R9","1M0","TopLayer","RESC0603X03L_C","11.1000","5.5000","180","Resistor, ±1%, 0.05W"
"R8","1M0","TopLayer","RESC0603X03L_C","11.1000","4.9000","180","Resistor, ±1%, 0.05W"
"L7","2.7nH","TopLayer","INDC1005X04L_C2","11.4161","8.9271","128","Inductor, 800mA, ±2%, 120mO"
"C40","6.8pF","TopLayer","CAPC1005X04L_C2","11.4162","-8.9271","232","Chip Cap 0402"
"R17","100k","TopLayer","RESC0603X03L_C","-5.4000","-6.0000","270","Resistor, ±1%, 0.05W"
"R13","1k2","TopLayer","RESC0603X03L_C","2.0250","-4.7000","180","Resistor, ±1%, 0.05W"
"R12","2k2","TopLayer","RESC0603X03L_C","3.7750","-4.4500","270","Resistor, ±1%, 0.05W"
"R11","390R","TopLayer","RESC0603X03L_C","3.2000","-4.4500","270","Resistor, ±1%, 0.05W"
"R3","10k","TopLayer","RESC0603X03L_C","1.8250","-6.3000","90","Resistor, ±1%, 0.05W"
"R2","10k","TopLayer","RESC0603X03L_C","1.2250","-6.3000","90","Resistor, ±1%, 0.05W"
"P1","Socket 2x5, Angled","BottomLayer","SOCKET_ANG_2x5_TH-1.27mm","-11.5400","0.0000","90","Socket 2x5, 1.27mm (50mil), Right Angle, TH"
"LED1","LED RGB","TopLayer","LED_RGB_0603","3.4000","-10.2000","180","RGB LED 1.60 mm x 0.80 mm SMD"
"LABEL1","8x8mm","BottomLayer","LabelSilk_8x8","-154.9823","-140.1176","180","PCA version label, stick-on, 8x8mm"
"Fid3","Fiducial mark","TopLayer","Fiducial","10.2000","-2.4250","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","-11.2500","-9.0000","180","Fiducial Mark"
"Fid1","Fiducial mark","TopLayer","Fiducial","-11.2500","9.0000","180","Fiducial Mark"
"C31","N.C.","TopLayer","CAPC1005X04L_C2","10.0707","9.7252","44","Not mounted"
"C30","1.2pF","TopLayer","CAPC1005X04L_C2","11.8726","7.4189","32.0000038147","Capacitor, NP0, ±0.1pF"
"C29","47pF","TopLayer","CAPC0603X03L_C","14.4138","1.5786","276.250000954","Chip Cap 0201"
"C28","47pF","TopLayer","CAPC0603X03L_C","11.8000","0.0000","180","Chip Cap 0201"
"C27","N.C.","TopLayer","CAPC1005X04L_C2","10.0708","-9.7251","316","Not mounted"
"C26","0.8pF","TopLayer","CAPC1005X04L_C2","11.8727","-7.4188","327.999996185","Capacitor, NP0, ±5%"
"C25","47pF","TopLayer","CAPC0603X03L_C","14.4138","-1.5786","83.7499990463","Chip Cap 0201"
"C38","100nF","TopLayer","CAPC0603X03L_C","-5.4000","-4.0000","270","Capacitor, X5R, ±10%, 100nF, 16V"
"U4","BMI270","TopLayer","BMI270","-4.5000","3.7750","180","6-axis, smart, low-power, inertial measurement unit"
"U5","ADXL367","TopLayer","LGA50P220X230X97-12N","8.3000","6.6250","0","Micropower, 3-Axis, ±2 g/±4 g/±8 g Digital Output MEMS Accelerometer"
"U3","BME688","TopLayer","BME680","4.9000","-6.8000","180","Low power gas, pressure, temperature & humidity sensor"
"C16","100nF","TopLayer","CAPC0603X03L_C","6.9000","-7.7150","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C15","100nF","TopLayer","CAPC0603X03L_C","6.9000","-6.1150","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C21","100nF","TopLayer","CAPC0603X03L_C","8.2250","8.3250","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C22","100nF","TopLayer","CAPC0603X03L_C","8.2250","8.8250","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C23","100nF","TopLayer","CAPC0603X03L_C","10.2750","6.8250","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C24","100nF","TopLayer","CAPC0603X03L_C","10.2728","6.2400","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C18","100nF","TopLayer","CAPC0603X03L_C","-2.4000","4.5250","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C20","100nF","TopLayer","CAPC0603X03L_C","-6.3750","4.8500","270","Capacitor, X5R, ±10%, 100nF, 16V"
"R5","10R","TopLayer","RESC0603X03L_C","7.4250","8.6250","270","Resistor, ±1%, 0.05W"
"Bat1","Bat Holder CR2032","BottomLayer","L-KLS5-CR2032-23-B1","0.0000","0.0000","90","Bat Holder CR2032 SMD"
"U1","nRF54L15-QFAAB00","TopLayer","QFN40P600X600X90-48N","2.8000","-0.2000","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4 and 2.4GHz proprietary Wireless MCU"
"C1","2.2µF","TopLayer","CAPC0603X03L_C","1.9150","3.7090","180","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C2","2.2µF","TopLayer","CAPC0603X03L_C","3.3882","5.5870","270","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C4","100nF","TopLayer","CAPC0603X03L_C","6.3584","2.7930","90","Capacitor, X5R, ±10%, 100nF, 16V"
"X1","32.768kHz","TopLayer","XTAL_2012","-1.7736","2.0802","90","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"FB1","120R/0.2A","TopLayer","INDC0603X03L_C","2.8279","5.5869","270","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"L1","4.7µH","TopLayer","INDC1608X06L","0.9228","5.0282","0","Inductor, 120mA, ±20%, 0.65R"
"C10","100nF","TopLayer","CAPC0603X03L_C","0.4910","3.7074","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C3","10µF","TopLayer","CAPC1005X04L_C2","-0.6773","4.2230","270","Capacitor, X5R, ±20%, 6.3V"
"C5","100pF","TopLayer","CAPC0603X03L_C","6.9680","1.0190","180","Capacitor, NP0, ±2%, 25V"
"X2","32MHz","TopLayer","BT-XTAL_2016","8.1872","3.5042","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tot: ±40ppm"
"C6","1.5pF","TopLayer","CAPC0603X03L_C","6.9680","0.5070","0","Capacitor, NP0, ±0.05pF, 25V, High Q"
"C7","100nF","TopLayer","CAPC0603X03L_C","-1.2870","-1.8806","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C8","100nF","TopLayer","CAPC0603X03L_C","4.6038","-4.1624","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C12","18pF","TopLayer","CAPC0603X03L_C","2.8278","3.9868","270","Capacitor, C0G, ±5%, 25V"
"L2","2.7nH","TopLayer","INDC0603X03L_C","6.9681","-0.0009","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"C9","2.0pF","TopLayer","CAPC0603X03L_C","8.8984","-0.2860","90","Capacitor, NP0, ±0.05pF, 25V"
"L3","3.5nH","TopLayer","INDC0603X03L_C","8.0706","-0.0009","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"L4","3.5nH","TopLayer","INDC0603X03L_C","9.7264","-0.0009","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"C11","0.3pF","TopLayer","CAPC0603X03L_C","10.5494","0.4054","270","Capacitor, C0G, ±0.1pF, 50V"
"C13","3.9pF","TopLayer","CAPC0603X03L_C","6.9729","-0.5863","180","Chip Cap 0201"
