IED Name,LD Name,LN Name,FC,DO,DA,Type,Num,Leaf Name
YH,GLU,LLN0,ST,Mod,stVal,Enum,5,YHGLU/LLN0$ST$Mod$stVal
YH,GLU,LLN0,ST,Mod,q,Quality,1,YHGLU/LLN0$ST$Mod$q
YH,GLU,LLN0,ST,Mod,t,Timestamp,1,YHGLU/LLN0$ST$Mod$t
YH,GLU,LLN0,CF,Mod,ctlModel,Enum,5,YHGLU/LLN0$CF$Mod$ctlModel
YH,GLU,LLN0,ST,Beh,stVal,Enum,5,YHGLU/LLN0$ST$Beh$stVal
YH,GLU,LLN0,ST,Beh,q,Quality,1,YHGLU/LLN0$ST$Beh$q
YH,GLU,LLN0,ST,Beh,t,Timestamp,1,YHGLU/LLN0$ST$Beh$t
YH,GLU,LLN0,ST,Health,stVal,Enum,3,YHGLU/LLN0$ST$Health$stVal
YH,GLU,LLN0,ST,Health,q,Quality,1,YHGLU/LLN0$ST$Health$q
YH,GLU,LLN0,ST,Health,t,Timestamp,1,YHGLU/LLN0$ST$Health$t
YH,GLU,LLN0,DC,NamPlt,vendor,VisString255,1,YHGLU/LLN0$DC$NamPlt$vendor
YH,GLU,LLN0,DC,NamPlt,swRev,VisString255,1,YHGLU/LLN0$DC$NamPlt$swRev
YH,GLU,LLN0,DC,NamPlt,d,VisString255,1,YHGLU/LLN0$DC$NamPlt$d
YH,GLU,LLN0,DC,NamPlt,configRev,VisString255,1,YHGLU/LLN0$DC$NamPlt$configRev
YH,GLU,LLN0,EX,NamPlt,ldNs,VisString255,1,YHGLU/LLN0$EX$NamPlt$ldNs
YH,GLU,LPHD1,DC,PhyNam,vendor,VisString255,1,YHGLU/LPHD1$DC$PhyNam$vendor
YH,GLU,LPHD1,DC,PhyNam,swRev,VisString255,1,YHGLU/LPHD1$DC$PhyNam$swRev
YH,GLU,LPHD1,DC,PhyNam,model,VisString255,1,YHGLU/LPHD1$DC$PhyNam$model
YH,GLU,LPHD1,ST,PhyHealth,stVal,Enum,3,YHGLU/LPHD1$ST$PhyHealth$stVal
YH,GLU,LPHD1,ST,PhyHealth,q,Quality,1,YHGLU/LPHD1$ST$PhyHealth$q
YH,GLU,LPHD1,ST,PhyHealth,t,Timestamp,1,YHGLU/LPHD1$ST$PhyHealth$t
YH,GLU,LPHD1,ST,Proxy,stVal,BOOLEAN,1,YHGLU/LPHD1$ST$Proxy$stVal
YH,GLU,LPHD1,ST,Proxy,q,Quality,1,YHGLU/LPHD1$ST$Proxy$q
YH,GLU,LPHD1,ST,Proxy,t,Timestamp,1,YHGLU/LPHD1$ST$Proxy$t
YH,GLU,LPHD1,ST,DevTime,stVal,INT32,1,YHGLU/LPHD1$ST$DevTime$stVal
YH,GLU,LPHD1,ST,DevTime,q,Quality,1,YHGLU/LPHD1$ST$DevTime$q
YH,GLU,LPHD1,ST,DevTime,t,Timestamp,1,YHGLU/LPHD1$ST$DevTime$t
YH,GLU,LPHD1,EX,DevTime,dataNs,VisString255,1,YHGLU/LPHD1$EX$DevTime$dataNs
YH,GLU,SPDC1,ST,Mod,stVal,Enum,5,YHGLU/SPDC1$ST$Mod$stVal
YH,GLU,SPDC1,ST,Mod,q,Quality,1,YHGLU/SPDC1$ST$Mod$q
YH,GLU,SPDC1,ST,Mod,t,Timestamp,1,YHGLU/SPDC1$ST$Mod$t
YH,GLU,SPDC1,CF,Mod,ctlModel,Enum,5,YHGLU/SPDC1$CF$Mod$ctlModel
YH,GLU,SPDC1,ST,Beh,stVal,Enum,5,YHGLU/SPDC1$ST$Beh$stVal
YH,GLU,SPDC1,ST,Beh,q,Quality,1,YHGLU/SPDC1$ST$Beh$q
YH,GLU,SPDC1,ST,Beh,t,Timestamp,1,YHGLU/SPDC1$ST$Beh$t
YH,GLU,SPDC1,ST,Health,stVal,Enum,3,YHGLU/SPDC1$ST$Health$stVal
YH,GLU,SPDC1,ST,Health,q,Quality,1,YHGLU/SPDC1$ST$Health$q
YH,GLU,SPDC1,ST,Health,t,Timestamp,1,YHGLU/SPDC1$ST$Health$t
YH,GLU,SPDC1,DC,NamPlt,vendor,VisString255,1,YHGLU/SPDC1$DC$NamPlt$vendor
YH,GLU,SPDC1,DC,NamPlt,swRev,VisString255,1,YHGLU/SPDC1$DC$NamPlt$swRev
YH,GLU,SPDC1,DC,NamPlt,d,VisString255,1,YHGLU/SPDC1$DC$NamPlt$d
YH,GLU,SPDC1,DC,EEName,vendor,VisString255,1,YHGLU/SPDC1$DC$EEName$vendor
YH,GLU,SPDC1,DC,EEName,location,VisString255,1,YHGLU/SPDC1$DC$EEName$location
YH,GLU,SPDC1,ST,PaDschAlm,stVal,BOOLEAN,1,YHGLU/SPDC1$ST$PaDschAlm$stVal
YH,GLU,SPDC1,ST,PaDschAlm,q,Quality,1,YHGLU/SPDC1$ST$PaDschAlm$q
YH,GLU,SPDC1,ST,PaDschAlm,t,Timestamp,1,YHGLU/SPDC1$ST$PaDschAlm$t
YH,GLU,SPDC1,ST,DevType,stVal,INT32,1,YHGLU/SPDC1$ST$DevType$stVal
YH,GLU,SPDC1,ST,DevType,q,Quality,1,YHGLU/SPDC1$ST$DevType$q
YH,GLU,SPDC1,ST,DevType,t,Timestamp,1,YHGLU/SPDC1$ST$DevType$t
YH,GLU,SPDC1,EX,DevType,dataNs,VisString255,1,YHGLU/SPDC1$EX$DevType$dataNs
YH,GLU,SPDC1,ST,SensorType,stVal,INT32,1,YHGLU/SPDC1$ST$SensorType$stVal
YH,GLU,SPDC1,ST,SensorType,q,Quality,1,YHGLU/SPDC1$ST$SensorType$q
YH,GLU,SPDC1,ST,SensorType,t,Timestamp,1,YHGLU/SPDC1$ST$SensorType$t
YH,GLU,SPDC1,EX,SensorType,dataNs,VisString255,1,YHGLU/SPDC1$EX$SensorType$dataNs
YH,GLU,SPDC1,ST,EvtLvlSt,stVal,INT32,1,YHGLU/SPDC1$ST$EvtLvlSt$stVal
YH,GLU,SPDC1,ST,EvtLvlSt,q,Quality,1,YHGLU/SPDC1$ST$EvtLvlSt$q
YH,GLU,SPDC1,ST,EvtLvlSt,t,Timestamp,1,YHGLU/SPDC1$ST$EvtLvlSt$t
YH,GLU,SPDC1,EX,EvtLvlSt,dataNs,VisString255,1,YHGLU/SPDC1$EX$EvtLvlSt$dataNs
YH,GLU,SPDC1,ST,OpCnt,stVal,INT32,1,YHGLU/SPDC1$ST$OpCnt$stVal
YH,GLU,SPDC1,ST,OpCnt,q,Quality,1,YHGLU/SPDC1$ST$OpCnt$q
YH,GLU,SPDC1,ST,OpCnt,t,Timestamp,1,YHGLU/SPDC1$ST$OpCnt$t
YH,GLU,SPDC1,EX,OpCnt,dataNs,VisString255,1,YHGLU/SPDC1$EX$OpCnt$dataNs
YH,GLU,SPDC1,ST,Prob0,stVal,INT32,1,YHGLU/SPDC1$ST$Prob0$stVal
YH,GLU,SPDC1,ST,Prob0,q,Quality,1,YHGLU/SPDC1$ST$Prob0$q
YH,GLU,SPDC1,ST,Prob0,t,Timestamp,1,YHGLU/SPDC1$ST$Prob0$t
YH,GLU,SPDC1,EX,Prob0,dataNs,VisString255,1,YHGLU/SPDC1$EX$Prob0$dataNs
YH,GLU,SPDC1,ST,Prob1,stVal,INT32,1,YHGLU/SPDC1$ST$Prob1$stVal
YH,GLU,SPDC1,ST,Prob1,q,Quality,1,YHGLU/SPDC1$ST$Prob1$q
YH,GLU,SPDC1,ST,Prob1,t,Timestamp,1,YHGLU/SPDC1$ST$Prob1$t
YH,GLU,SPDC1,EX,Prob1,dataNs,VisString255,1,YHGLU/SPDC1$EX$Prob1$dataNs
YH,GLU,SPDC1,ST,Prob2,stVal,INT32,1,YHGLU/SPDC1$ST$Prob2$stVal
YH,GLU,SPDC1,ST,Prob2,q,Quality,1,YHGLU/SPDC1$ST$Prob2$q
YH,GLU,SPDC1,ST,Prob2,t,Timestamp,1,YHGLU/SPDC1$ST$Prob2$t
YH,GLU,SPDC1,EX,Prob2,dataNs,VisString255,1,YHGLU/SPDC1$EX$Prob2$dataNs
YH,GLU,SPDC1,ST,Prob3,stVal,INT32,1,YHGLU/SPDC1$ST$Prob3$stVal
