Ref,Val,Package,PosX,PosY,Rot,Side
"C16","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.700000,-86.868000,90.000000,bottom
"IC1","USBLC6-2SC6","SOT95P280X145-6N",137.394000,-90.109000,0.000000,bottom
"J3","POGOB","POGOB",147.955000,-99.618800,180.000000,bottom
"J4","POGOB","POGOB",131.318000,-99.618800,180.000000,bottom
"J6","Conn_01x02","PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Left",144.391000,-100.824000,90.000000,bottom
"S1","EVQ-P7A01P","SW_EVQ-P7A01P",149.148800,-83.413600,-90.000000,bottom
"S2","EVQ-P7A01P","SW_EVQ-P7A01P",149.148800,-95.377000,-90.000000,bottom
"U6","MAX30102EFD+T","21-1048_F143A5&plus_1_MXM",139.496800,-95.275400,180.000000,bottom
"C1","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.858000,-84.074000,180.000000,top
"C2","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",129.413000,-83.058000,0.000000,top
"C3","2.2uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",135.462200,-77.343000,0.000000,top
"C4","27pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.071000,-89.619900,-90.000000,top
"C5","27pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",148.071000,-87.325200,90.000000,top
"C6","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",135.128000,-102.743000,180.000000,top
"C7","120nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.791200,-97.832100,90.000000,top
"C8","3.3pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.050000,-79.502000,0.000000,top
"C9","47nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.786600,-96.799400,90.000000,top
"C10","47nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.618200,-96.790700,90.000000,top
"C11","47nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.592500,-94.996000,0.000000,top
"C12","47nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.592500,-93.751400,0.000000,top
"C13","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.592500,-96.139000,180.000000,top
"C14","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",142.240000,-92.583000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",143.738600,-83.235800,90.000000,top
"C17","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.981700,-77.343000,0.000000,top
"C18","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",140.004800,-96.799400,-90.000000,top
"C19","3.3pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.050000,-83.058000,0.000000,top
"D1","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",138.684000,-87.122000,90.000000,top
"E1","NN02-101","XCVR_NN02-101",143.164000,-77.343000,0.000000,top
"J1","S2B-ZRLFSN","CONN_S2B-ZR_JST",142.063700,-101.283200,90.000000,top
"J2","USB4215-03-A","CONN_8p94X6p5X3p16_12L_GCC",129.970083,-89.541600,-90.000000,top
"J5","Conn_01x02","PinHeader_1x02_P1.00mm_Vertical",138.217400,-103.457600,90.000000,top
"L1","LQG15HS2N2B02D","INDC1005X55N",145.542000,-81.102000,-90.000000,top
"R1","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.064000,-95.758000,180.000000,top
"R2","5.1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.064000,-84.074000,180.000000,top
"R3","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.398000,-83.058000,0.000000,top
"R4","2K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",133.858000,-82.931000,180.000000,top
"R5","5K9","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.652000,-87.757000,180.000000,top
"R6","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",130.419699,-80.362498,-90.000000,top
"R7","2K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.684000,-84.873500,-90.000000,top
"R8","4K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",142.621000,-83.222500,-90.000000,top
"R9","4K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.478000,-83.185000,-90.000000,top
"R10","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.340500,-89.027000,180.000000,top
"R11","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.303000,-90.170000,180.000000,top
"R12","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.061700,-77.343000,0.000000,top
"U1","ESP32-C3FH4","QFN50P500X500X90-33N",143.665000,-88.233000,-90.000000,top
"U2","TLV75533PDBVR","DBV0005A_N",133.362700,-80.264000,0.000000,top
"U3","MAX30009ENA+T","MAX30009ENA_T",144.741800,-93.789500,0.000000,top
"U4","BQ25100YFPR","BGA6N40P3X2_157X88X50N",136.598000,-85.490000,0.000000,top
"U5","BNO055","LGA-28_5.2x3.8mm_P0.5mm",136.410000,-99.810500,0.000000,top
"U7","TCR2EF18_LMCT","SOT-25   SMV_TOS",137.912699,-80.263997,0.000000,top
"Y1","ECS-400-18-33-JGN-TR3","XTAL_ECS-400-18-33-JGN-TR3",150.368000,-88.645000,-90.000000,top
