Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D3.0mm",123.730000,-48.500000,0.000000,top
"D2","LED","LED_D3.0mm",195.270000,-48.550000,180.000000,top
"D3","LED","LED_D3.0mm",123.750000,-84.300000,0.000000,top
"D4","LED","LED_D3.0mm",195.250000,-84.300000,180.000000,top
"D6","SS14","D_SMA",206.000000,-65.000000,180.000000,top
"J1","DCJ200-10-A-XX-K_REVA","GCT_DCJ200-10-A-XX-K_REVA",160.350000,-90.050000,0.000000,top
"J2","B5PS-VH","CONN_B5PS-VH_JST",202.655600,-86.315100,90.000000,top
"J3","B5PS-VH","CONN_B5PS-VH_JST",119.344401,-70.684900,-90.000000,top
"J4","Conn_01x07","PinSocket_1x07_P2.54mm_Vertical",167.000000,-47.380000,0.000000,top
"J5","Conn_01x07","PinSocket_1x07_P2.54mm_Vertical",183.000000,-62.540000,180.000000,top
"J6","Conn_01x06","PinSocket_1x06_P2.54mm_Vertical",171.525000,-76.675000,0.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",195.500000,-59.960000,0.000000,top
"K2","Songle Relay SRD-05VDC-SL-C","Relay_SPDT_Finder_36.11",211.932500,-59.200000,180.000000,top
"Q1","MMBT2222A","SOT-23",196.437500,-74.550000,0.000000,top
"R2","1K","R_0603_1608Metric",125.500000,-54.500000,0.000000,top
"R3","470E","R_0603_1608Metric",171.250000,-50.000000,180.000000,top
"R4","470E","R_0603_1608Metric",171.250000,-52.500000,180.000000,top
"R5","470E","R_0603_1608Metric",162.250000,-54.980000,0.000000,top
"R6","470E","R_0603_1608Metric",193.250000,-74.500000,-90.000000,top
"R7","4k7","R_0603_1608Metric",172.000000,-60.010000,0.000000,top
"R8","4k7","R_0603_1608Metric",172.000000,-57.500000,0.000000,top
"S1","JCHL HL4*22C","SPACER_01",125.000000,-48.500000,0.000000,top
"S2","JCHL HL4*22C","SPACER_01",194.000000,-48.550000,0.000000,top
"S3","JCHL HL4*22C","SPACER_01",125.020000,-84.300000,0.000000,top
"S4","JCHL HL4*22C","SPACER_01",193.980000,-84.300000,0.000000,top
"U2","INA219","MODULE_INA219",179.120000,-83.000000,-90.000000,top
"U3","YAAJ_DCDC_StepDown_LM2596","YAAJ_DCDC_StepDown_LM2596",150.000000,-54.360000,-90.000000,top
